_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,actualParticipated,specificProjects,subsidyAmounts,comment,location,codedBy,section,length,docLink,mentionPrevious,mention,mentionNext
"""601b8f0535b23ba03113781d""",一带一路（19年之前）,年度报告,2017,福日电子：2017年年度报告（更正版）,600203.SH,福日电子,制造业,计算机、通信和其他电子设备制造业,福建省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600203/page_type/ndbg.phtml,,,,,0,,,2,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=600203&id=4232923,,龙头企业的领先优势将会持续扩大。一线品牌企业依靠大规模订单，能以 更低成本，获得更优先的供货，从而强化领先优势。从华为、小米、三星向媒体披露的 2018 年业 绩指标来看，在全球市场整体出货量增长趋缓甚至下降的背景之下，依然是持平甚至高于 2017 年的出货数量。 从技术发展来看，屏幕技术、摄像头、屏幕材质、芯片等多领域存在着创新需求。     2、LED 行业格局和趋势     行业格局：随着“一带一路”、“中国制造 2025”等国家战略的深入实施，宏观政策环境持 续向好，2017 年中国半导体照明产业重新步入快速发展的轨道。《半导体照明产业“十三五”发 展规划》为我国半导体照明产业在新时期的发展指明了方向；《促进新一代人工智能产业发展三 年行动计划（2018-2020 年）》、《“十三五”材料领 域科技创新专项规划》等相关政策的发布 实施，为产业创造了新的机遇并持续注入发展的动力。20,
"""601b8f0535b23ba031137815""",一带一路（19年之前）,年度报告,2017,亚钾国际：2017年年度报告（更新后）,000893.SZ,亚钾国际,制造业,化学原料及化学制品制造业,广东省,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000893/page_type/ndbg.phtml,,,,,0,,,2,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=000893&id=4394818,,颗粒钾市场、推进国际市场布局等；二是计划建立越南代表 处，时刻把握市场动态及走向，增加客户拜访的力度及深度，加深与现有客户的合作关系，进一步扩大市 场销量，；三是加强团队建设，合理完善团队配置。     2、在谷物贸易业务方面，的经营环境在2018年将会更严峻。公司谷物贸易业务主要是以玉米、大麦、 菜粕、葵花粕、棕榈粕等饲料原料为主，服务在华南地区的终端客户。大型饲料企业与国际大粮商，分别 借助“一带一路”的东风，走出去与布局中国市场，市场信息更加透明化，饲料原料贸易中间环节的减少， 令到传统贸易模式中间商的生存空间不断被挤压。美国新任总统过于保护美国利益，过多关注中美贸易差 额，2018年3月提出301法案，拟对我国钢材等一系列产品征收额外关税，预计会增加中美之间的贸易摩擦。 2018年2月4日我国商务部对外公告将对美国高粱进行反倾销调查，这对美国高粱进口业务将产生不利的影 响，而饲料大,
"""601b8f0535b23ba031137833""",一带一路（19年之前）,年度报告,2017,南宁百货：2017年年度报告（2019年6月修订）,600712.SH,南宁百货,电力、热力、燃气及水的生产和供应业,零售业,广西壮族自治区,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600712/page_type/ndbg.phtml,,,,,0,,,2,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=600712&id=4247018,,圈的核心地段，位置优越，不 仅能够确保经营的稳定性，且具备一定的成本优势，抗风险性强。     4.区域优势                                           7 / 133                                     2017 年年度报告     公司地处广西南宁市，南宁市是华南经济圈、西南经济圈和中国—东盟经济圈的交汇点，是 衔接“一带一路”的重要枢纽城市、广西北部湾经济区的核心城市，目前正在加快建设区域性国 际城市和广西“首善之区”，辐射能力持续提升，区域经济有望保持快速增长态势，公司将受益 于区域经济的快速发展。                          第四节      经营情况讨论与分析 一、经营情况讨论与分析     2017 年，是公司发展较为艰难的一年，也是夯实基础、打赢翻身仗的关键之年，更是公司上 下,
"""601b8f0535b23ba03113783e""",一带一路（19年之前）,年度报告,2017,*ST当代：2017年年度报告（更新后）,000673.SZ,*ST当代,文化、体育和娱乐业,文化艺术业,山西省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000673/page_type/ndbg.phtml,,,,,0,,,2,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=000673&id=4385629,,"反哺内容投资     在通过“精品投资”策略抢占电视、综艺市场的同时，公司持续加码实体影院和互联网、 电视台等渠道的布局。渠道的夯实，为公司在精品影视剧内容的投资策略产生了积极意义。     院线板块，依托于当代浪讯、华彩天地、当代春晖、泰和鑫影等团队，公司引入专业合 伙人为自营影院量身定制影院建设及并购标准化管理方案。当代东方院线子集团雏形已成， 目前初步形成以长三角为依托，辐射两湖、两广以及“一带一路”建设的成熟消费区域影院 布局。截至 2017 年 12 月 31 日，公司收购或建成投入运营的影院共 32 家，银幕数合计为 179 块，公司自有影院的年度票房达 12,839.34 万元（含收购前票房），年度观影人次共 444.22 万 人次。报告期公司影院业务共实现收入 14,172.14 万元，主要为票房收入、卖品及广告收入等。     4、 演唱会：“新手”登场，开启音乐板块新布",
"""601b8f0535b23ba031137812""",一带一路（19年之前）,年度报告,2017,珈伟新能：2017年年度报告（更新后）,300317.SZ,珈伟新能,制造业,电气机械及器材制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300317/page_type/ndbg.phtml,,,,,0,,,2,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=300317&id=4273349,,东存在一定程度的依赖     公司目前的光伏电站EPC业务占公司总收入的59.69%，对单一大股东振发能源存在一定程度的依赖，与其关联交易金额 较大，公司后续将会以其自身在光伏电站行业的积累，为华源新能源的发展提供更有效的保障和支持；随华源新能源市场和 品牌影响力的提升，也将从每年不断增加的光伏电站EPC市场中获取更多市场份额，逐步减少与振发能源之间的关联交易。 同时，公司也会积极响应国家推动的“一带一路”和“光伏扶贫”政策，继续推进光伏电站和EPC业务的发展。     3、商誉减值风险     公司近两年进行了几次大的收购，在扩大整个公司资产规模，提升盈利能力的同时也产生了较大金额的商誉，如果未来 宏观经济形势变化，或被并购的公司市场拓展、内部管理出现问题，导致经营状况恶化，根据《企业会计准则》的规定，需 要对商誉计提减值，将对公司未来的经营业绩造成不利影响。公司已充分意识到潜在的商誉减,
"""601b8f5935b23ba031137b00""",一带一路（19年之前）,年度报告,2017,宝德股份：2017年年度报告（更新后）,300023.SZ,宝德股份,金融业,其他金融业,陕西省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300023/page_type/ndbg.phtml,,,,,0,,,2,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=300023&id=4396054,,分市场的应用，大力挖潜高附加值产品，培育高利润业务板块，积极尝试 将自动化技术与其它行业相结合，增强公司业务的辐射能力；加快“走出去”步伐，积极发展在海外的一体化服务，不断开拓 新的产品销售渠道，扩大市场渗透率，为公司未来持续健康发展提供新的动力。     融资租赁业务方面，公司将积极拓展业务领域和空间，聚焦国家政策支持的朝阳产业，实现智能设备、新能源、节能环 保、教育、医疗等产业的深耕，结合国家一带一路政策、中国制造2025及PPP趋势，拓展高端制造、公共设施领域的业务， 推进融资租赁业务的转型升级。公司将努力探索各种新型业务模式，通过不断创新产品与服务，为客户提供灵活高效、量身 定制的集金融、投资、咨询等一体化的资产管理解决方案，形成具有自身特色的以资源组织能力和资源增值能力相互匹配、 协调发展为特征的核心竞争优势。     公司将继续探索创新发展模式，稳步提升专业化、精细化水平，继续,
"""601b8f6d35b23ba031137b8a""",一带一路（19年之前）,年度报告,2017,香溢融通：2017年年度报告全文（修订稿）,600830.SH,香溢融通,租赁和商务服务业,租赁业,浙江省,中央国有企业,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600830/page_type/ndbg.phtml,,,,,0,,,2,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=600830&id=4098750,,采取一系列措施加强金融监管，反复强调要把防控金融风险放在更加重要位置，牢牢守住   不发生系统性风险底线。统筹监管系统重要性金融机构，统筹监管金融控股公司和金融基础设施，逐步形成全国   一盘棋的金融风险防控体系。2018 年防控金融风险、强化监管意识、形成监管合力依然是国家一项重要工作任务。        2018 年，从宏观形势来看，中央提出了高质量发展的总要求，协调、开发、共享的发展理念，“一带一路”   开放新格局，以互联网和大数据为标志的科技创新是发展动力，规范发展的要求，只有改革才能促发展解难题，   消费升级、商业模式变化，乡村振兴战略的实施等等，以及目前社会上节能环保、新能源、高端装备制造业、物   联网等各类新行业蓬勃发展，互联网、大数据等新技术革命，新零售、新消费时代的到来等等，在新时代新形势   大背景下，公司迎来了新的发展机遇。        新的一年，虽然公司面临,
"""601b8f6d35b23ba031137b8d""",一带一路（19年之前）,年度报告,2017,华信退：2017年年度报告（更新后）,002018.SZ,华信退,,,,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002018/page_type/ndbg.phtml,,,,,0,,,2,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=002018&id=4373771,,公司为业务发展单元的产业 布局结构。此外，公司顺应国内外经济运行和行业发展的趋势，在各相关领域与具有行业影 响力的合作伙伴逐步建立广泛深入的合作共赢关系；并通过引入高端人才和调整内部结构， 进一步完善了与之相适应的人力资源储备和组织架构。通过上述措施，公司已经逐步具备了 在更广阔的视野内进行广泛资源整合的能力，为公司未来的战略实施奠定了坚实的基础。 2、深入的战略合作能力     公司通积极响应“一带一路”战略倡议，持续对国内重要地区、中西亚、中东欧等区域的 能源及相关产业进行深度介入，积极主动地与国内外能源大型企业建立长期良好的战略合作 关系，以实现公司在能源产业链上的合理布局。 同时，公司通过合作设立的并购基金与多家大型金融机构保持深度合作关系，充分利用了并 购基金的优势，储备与培育战略业务；利用上市公司平台及各合作方的资源优势推动公司收 购或参股符合公司战略发展目的并具有资源、渠道、,
"""601b8f8335b23ba031137bae""",一带一路（19年之前）,年度报告,2017,菲达环保：2017年年度报告（修订版）,600526.SH,菲达环保,制造业,专用设备制造业,浙江省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600526/page_type/ndbg.phtml,,,,,0,,,2,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=600526&id=4273525,,"，以及目前的行业发展态势，公司未来环境服务业务比重将上升。 (二)    公司发展战略 √适用 □不适用     在国家推进产业结构调整、促进资源节约型、环境友好型社会建设的大背景下，在行业不断 推陈出新、竞争对手不断增多变强的局势下，公司亦将不断追求创新，勇于超越自我，同时，用 好、用足金融平台，循环往复，生态链式地来推进企业全面转型升级，实现可持续发展。     “十三五” 期间，公司将对接“一带一路”，并重国内外市场，着力于从装备制造向装备制造 加环境服务业,从大气污染治理向跨大气、水、固废等综合环境治理领域服务商转型升级，努力朝 着国内最佳、世界一流的多领域国际化环保大集团的目标迈进。 (三)    经营计划 √适用 □不适用     1.2017 年经营计划完成情况     公司 2016 年年度报告提出公司 2017 年经营目标：争取实现营业收入 38.5 亿元，营业成本 32",
"""601b8f8335b23ba031137b9a""",一带一路（19年之前）,年度报告,2017,智慧能源：2017年年度报告（修订稿）,600869.SH,智慧能源,制造业,电气机械及器材制造业,青海省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600869/page_type/ndbg.phtml,,,,,0,,,2,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=600869&id=4333192,,2017 年年度报告     同时，我们也经历了外部经济环境快速变化对公司经营业绩的较大影响，由于铜 等大宗商品价格的上涨导致公司在销售创出历史新高的情况下，利润出现下滑，经营 质量和风险控制能力有待进一步提升。     2018 年，中国政府将继续坚持稳中求进工作总基调，坚持新发展理念，按照高质 量发展的要求，以供给侧结构性改革为主线，加快“一带一路”进程，经济保持总体 平稳、稳中向好发展，能源发展追求清洁高效，将有利于清洁能源和新能源智能汽车 市场等行业继续高速增长，有利于行业优势企业提高集中度，有利于中国企业拓展海 外市场。2018 年，也是我们全体同仁再出发的关键之年，公司继续以“全球领先的智 慧能源、智慧城市服务商”为发展战略，积极布局以“能源互联网龙头”为中心的智 慧能源系统及生态服务体系；公司坚持内生增长、外延并购，不断进,
