金达威,002626,收入构成,报告日期,2020-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
营养和保健品,159976,73556,86420,54.02%,99.59%
其它收入,868,-- ,868,--,1%
其他(补充),-- ,512,-512,--,-0.59%

金达威,002626,收入构成,报告日期,2019-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
营养和保健品,310914,161715,149199,47.99%,95.2%
其他(补充),-- ,741,-741,--,-0.47%
其它收入,8264,-- ,8264,--,5.27%

金达威,002626,收入构成,报告日期,2019-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
营养和膳食营养补充剂,153830,78657,75173,48.87%,98.36%
其他(补充),-- ,323,-323,--,-0.42%
其他业务收入,1578,-- ,1578,--,2.06%

金达威,002626,收入构成,报告日期,2018-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他业务,2298,-- ,2298,--,1.52%
其他(补充),-- ,550,-550,--,-0.36%
营养和膳食营养补充剂,284965,136009,148955,52.27%,98.84%

金达威,002626,收入构成,报告日期,2018-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),-- ,253,-253,--,-0.33%
营养和保健品,131441,56181,75260,57.26%,98.25%
其他,1596,-- ,1596,--,2.08%

金达威,002626,收入构成,报告日期,2017-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,1264,407,857,67.78%,0.86%
营养和保健品,207198,108424,98774,47.67%,99.14%

金达威,002626,收入构成,报告日期,2017-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,733,268,466,63.52%,1.28%
营养和保健品,89786,53770,36015,40.11%,98.72%

金达威,002626,收入构成,报告日期,2016-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,1140,635,505,44.3%,0.74%
营养和保健品,165135,97398,67737,41.02%,99.26%

金达威,002626,收入构成,报告日期,2016-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,364,70,294,80.75%,0.93%
营养和保健品,80210,48799,31411,39.16%,99.07%

金达威,002626,收入构成,报告日期,2015-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,-- ,297,-297,--,-0.66%
其他业务,627,-- ,627,--,1.4%
营养和保健品,119754,75269,44485,37.15%,99.26%

金达威,002626,收入构成,报告日期,2015-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
保健品,14814,9255,5560,37.53%,25.39%
工业原料,39332,23220,16111,40.96%,73.58%
其他（补充）,423,196,226,53.54%,1.03%

金达威,002626,收入构成,报告日期,2014-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),1254,1067,187,14.91%,0.53%
工业,82571,47190,35381,42.85%,99.47%

金达威,002626,收入构成,报告日期,2014-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),69,-- ,69,--,0.4%
工业,40186,22929,17257,42.94%,99.6%

金达威,002626,收入构成,报告日期,2013-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),197,-- ,197,--,0.83%
工业,66819,43298,23521,35.2%,99.17%

金达威,002626,收入构成,报告日期,2013-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),90,-- ,90,--,0.88%
工业,31254,21209,10045,32.14%,99.12%

金达威,002626,收入构成,报告日期,2012-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),171,-- ,171,--,0.71%
工业,67427,43526,23901,35.45%,99.29%

金达威,002626,收入构成,报告日期,2012-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),101,-- ,101,--,0.79%
工业,33187,20493,12694,38.25%,99.21%

金达威,002626,收入构成,报告日期,2011-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),130,-- ,130,--,0.49%
工业,57664,31268,26397,45.78%,99.51%


