浙商证券,601878,收入构成,报告日期,2020-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
总部后台及其他,-35588,48573,-84161,236.49%,-95.67%
自营投资业务,71261,4443,66819,93.77%,75.96%
资产管理业务,25964,15810,10155,39.11%,11.54%
直接投资业务,-1444,192,-1636,113.3%,-1.86%
信用业务,59804,6100,53703,89.8%,61.05%
投资银行业务,38552,19141,19411,50.35%,22.07%
期货业务,224484,219993,4491,2%,5.11%
经纪业务,65981,46792,19189,29.08%,21.81%
分部间抵销,-232,-232,-0,0.15%,-0%

浙商证券,601878,收入构成,报告日期,2019-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
总部后台及其他,-44975,41447,-86422,192.16%,-66.73%
信用业务,109456,1517,107939,98.61%,83.34%
自营投资业务,83795,5512,78284,93.42%,60.44%
分部间抵销,-30191,-567,-29623,98.12%,-22.87%
直投业务,4720,1090,3630,76.9%,2.8%
资产管理业务,38314,31644,6670,17.41%,5.15%
期货业务,272375,254391,17984,6.6%,13.89%
投资银行业务,31334,26858,4476,14.28%,3.46%
经纪业务,101120,74539,26581,26.29%,20.52%

浙商证券,601878,收入构成,报告日期,2019-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
直接投资业务,1025,296,729,71.08%,1.14%
分部间抵销,-33345,-431,-32914,98.71%,-51.69%
资产管理业务,18181,13045,5136,28.25%,8.07%
自营投资业务,41378,2469,38909,94.03%,61.1%
投资银行业务,12359,10506,1853,14.99%,2.91%
证券经纪业务,54622,36767,17856,32.69%,28.04%
期货业务,123760,118916,4844,3.91%,7.61%
总部后台及其他,-7108,20575,-27683,389.46%,-43.47%
融资融券业务,56681,1733,54948,96.94%,86.29%

浙商证券,601878,收入构成,报告日期,2018-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
自营投资业务,47379,3512,43867,92.59%,44.72%
期货业务,147081,129518,17563,11.94%,17.91%
投资银行业务,28620,26210,2410,8.42%,2.46%
经纪业务,81498,58139,23359,28.66%,23.81%
分部间抵销,-242,-107,-134,55.63%,-0.14%
直接投资业务,2274,842,1431,62.95%,1.46%
资产管理业务,26354,29109,-2755,-10.45%,-2.81%
总部后台及其他,-58572,28913,-87485,149.36%,-89.19%
融资融券业务,95088,-4742,99830,104.99%,101.78%

浙商证券,601878,收入构成,报告日期,2018-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
分部间抵销,-85,31,-116,137.1%,-0.22%
期货业务,67032,60531,6501,9.7%,12.12%
直接投资业务,740,459,281,37.96%,0.52%
资产管理业务,11998,13175,-1178,-9.81%,-2.2%
投资银行业务,16488,6182,10306,62.51%,19.22%
总部后台及其他,-27015,16578,-43593,161.37%,-81.29%
融资融券业务,49488,-6129,55618,112.39%,103.71%
证券经纪业务,46200,30709,15491,33.53%,28.89%
自营投资业务,11551,1232,10319,89.33%,19.24%

浙商证券,601878,收入构成,报告日期,2017-12-31,
