random,url,name,year,description
495,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=002175&id=3299259,ST东网,2016,Toc incomplete
495,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=002175&id=3299259,ST东网,2016,Section Title Amount does not match.
495,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=300317&id=3139393,珈伟新能,2016,Toc incomplete
495,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=300317&id=3139393,珈伟新能,2016,Section Title Amount does not match.
495,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=002378&id=3203591,章源钨业,2016,Toc incomplete
495,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=002378&id=3203591,章源钨业,2016,Section Title Amount does not match.
495,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=600362&id=3165494,江西铜业,2016,Toc incomplete
495,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=600362&id=3165494,江西铜业,2016,Section Title Amount does not match.
495,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=000789&id=3364561,万年青,2016,Toc incomplete
495,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=000789&id=3364561,万年青,2016,Section Title Amount does not match.
495,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=000550&id=3142203,江铃汽车,2016,No Toc
495,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=600475&id=3292505,华光环能,2016,Toc incomplete
495,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=600475&id=3292505,华光环能,2016,Section Title Amount does not match.
495,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=600654&id=3370770,ST中安,2016,Missing content
495,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=600654&id=3370770,ST中安,2016,No Toc
495,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=002323&id=3369153,*ST雅博,2016,Toc incomplete
495,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=002323&id=3369153,*ST雅博,2016,Section Title Amount does not match.
495,https://vip.stock.finance.sina.com.cn//corp/view/vCB_AllBulletinDetail.php?stockid=002360&id=3203280,同德化工,2016,Toc incomplete
