name,code,sentence
蒲晓波,000589,"蒲晓波:男,1972年2月出生,毕业于昆明大学化轻系橡胶工艺专业,大专学历,助理工程师"
罗燕,000589,"罗燕:女,1970年3月出生,毕业于贵州广播电视大学会计学专业,本科学历,会计师"
刘道仁,000587,"1996年7月毕业于武汉冶金科技大学资源工程系,大专学历"
杨骏,000584,"杨骏,男,1978年1月生,中国国籍,无境外居留权,汉族,英国利兹大学金融与会计硕士"
郭潜力,000585,"郭潜力先生,一九六二年出生,中国国籍,无境外永久居留权,毕业于江西广播电视大学中国汉语言文学专业,专科学历"
王晓东,000581,"王晓东,男,1966年11月出生,中国国籍,中共党员,大学毕业,工商管理硕士,高级工程师"
王宇航,000584,"王宇航,男,满族,1987年10月生,无境外居留权,硕士学历,2011年12月毕业于旧金山大学(UniversityofSanFrancisco)风险管理专业"
王进,000591,"王进,男,1966年生,美国EMORY大学经济学博士,教授"
王进,000591,曾任职、兼职于EMORY大学、乔治亚学院、乔治亚州公共事务厅、联邦储备银行等机构
赵敏,000603,"赵敏,女,汉族,1986年11月出生,曾就读于美国丹佛大学金融专业,研究生学历"
蔡勇,000617,"美国德州大学阿灵顿分校工商管理硕士,会计师"
范庆堂,000626,"范庆堂,男,1958年12月出生,大学专科,曾就职于连云港市运输公司、连云港市农业局、连云港如意集团股份有限公司行政后勤部副经理,现任连云港如意集团股份有限公司综合管理部经理、职工监事"
王荣凯,000629,"王荣凯先生:1968年12月出生,大学工学学士,有色冶金高级工程师,现任攀钢集团钒钛资源股份有限公司副总工程师,攀钢集团重庆钛业有限公司执行董事、总经理,重庆江之阳环保工程有限公司执行董事、总经理、财务负责人"
王俊,000625,"王俊先生,董事、党委副书记、工会主席,长安汽车大学校长"
谢俊勇,000629,"谢俊勇先生,1965年9月出生,大学工学学士,高级工程师,现任攀钢集团有限公司党委副书记、董事、总经理"
苏锡嘉,000632,苏先生亦曾于中国证监会、上海证券交易所、深圳证券交易所、主要商业银行和国内多家大学授课
刘汕,000637,"Chun Bill Liu(刘汕),男,1998年8月出生,回族,在读大学"
刘汕,000637,现在:美国加利福尼亚大学伯克利分校商业管理专业学习
卢少辉,000632,"1983年9月起历任福建电视大学教师、经济系主任,福建华通置业有限公司常务副总经理,华通天香集团股份有限公司董事、总经理,福建阳光实业发展股份有限公司董事、总经理,华通国际招商集团股份有限公司副总裁"
张超,000638,"张超,男,1978年10月出生,大学研究生学历"
易丹青,000657,"1992年1月至1997年12月在瑞典查尔姆斯工业大学留学,获工学博士学位"
何光闯,000657,"何先生于1985年毕业于长沙大学政宣专业,2002年毕业于中央党校函授学院经济管理专业"
刘毅,000657,1997年获得武汉工业大学管理工程(工商管理)专业硕士学位
周德元,000668,1979年至1981年在南京航天航空大学读硕士研究生
王婧芳,000669,"王婧芳,女,1982年12月出生,硕士研究生,中级经济师,毕业于法国雷恩大学"
倪叙璋,000672,"倪叙璋,男,1975年出生,中国国籍,无永久境外居留权,本科学历,1995年11月起在芜湖世昌企业有限公司任认证工程师、报关员,1999年4月起在铜陵广播电视大学任英语教师,2000年1月起在铜陵扩丽安努服装公司任国际业务部经理,2002年2月起在铜陵丰山三佳有限公司任国际营业部课长,2004年2月起在铜陵上峰水泥股份有限公司先后任进出口主管、供销部副部长、销售部部长、副总经理,2013年4月至今任甘肃上峰水泥股份有限公司副总经理"
于蒙,000671,"于蒙先生,汉族,1987年12月出生,东京大学博士,现任阳光城集团财务管理中心金融部融资高级经理"
岳意定,000702,全国大学生创新创业大赛金奖指导教师
孙静,000695,"加拿大圣玛丽大学金融学硕士研究生,中级经济师"
姚作为,000712,"1999年5月至2001年2月,兼任亚洲(中国澳门)国际公开大学硕士生导师"
王俊峰,000710,"王俊峰先生,1974年出生,毕业于加拿大麦克马斯特大学国际金融专业,MBA,中国国籍,无境外永久居留权"
刘雨田,000715,"刘雨田,男,1967年8月出生,大学专科学历,政工师"
皮丽珍,000717,"皮丽珍,女,1969年9月出生,大学专科学历,在职本科,会计师,1992年7月加入韶钢"
朱会君,000715,"朱会君,女,1961年6月出生,大学专科学历,教授研究员级高级会计师、高级审计师、中国注册会计师"
陈锐谋,000726,"陈锐谋:1944年出生,学历:大学"
许植楠,000726,"许植楠:1930年出生,泰国国籍,学历:大学"
王小龙,000756,"王小龙先生,高级工程师,毕业于山东工业大学自动化专业,1988年到山东新华制药厂工作,历任电气车间副主任、主任,机械分厂厂长,山东新华制药股份有限公司副总经理,山东新华医药集团有限责任公司副总经理"
曹志刚,000767,"曹志刚,男,汉族,1966年5月出生,山西省怀仁县人,中共党员,大学研究生学历,高级会计师,注册会计师"
王德忠,000777,"王德忠先生:中国国籍,无境外永久居留权,1962年出生,大学博士学历,教授"
符磊,000779,"符磊,男,汉族,1975年6月生,中共党员,大学专科学历"
王金贵,000779,2007年被聘为甘肃联合大学兼职副教授
范立夫,000776,2003年1月至2004年1月在英国里丁大学(UniversityofReading)做访问学者
郝健,000785,"历任武汉工业大学材料系分团委书记、科研处信息科科长,武汉国有资产经营公司部门经理、团委书记、董事会秘书、总经理助理兼华汉投资管理有限公司董事长,武汉市武昌区人民政府副区长(挂职),武汉商联(集团)股份有限公司董事、副总经理"
董恩和,000798,"董恩和先生:1963年出生,本科学历,上海水产大学海洋捕捞专业毕业"
郑应南,000799,"郑应南先生:男,1957年11月出生,中国香港居民,加拿大高级会计师协会会员、英国企业家协会会员、英国成本和执行会计师协会会员、加拿大注册行政管理经理学会毕业生会员,美国加州圣格拉斯加大学荣誉博士"
瞿军,000799,"瞿军先生:男,1973年7月出生,湖南吉首市人,大学专科文化"
李小平,000799,李小平先生:中国香港会计师公会会员、英国公认会计师公会会员、中国香港公开进修学院工商管理学士、中国香港公开大学工商管理硕士、英国特许会计师及中国香港会计师公会会员、中国香港公开大学企业管治硕士、英国特许秘书及行政人员公会会员、中国香港特许秘书公会会员
杜扬,000802,"杜扬,女,1964年出生毕业于中华社会大学图书资料管理系,美国加州伯克利大学东来研究所访问学者"
甘海南,000803,"甘海南先生,1969年出生,中国国籍,无境外永久居留权,毕业于山东工业大学环境工程专业"
范立夫,000809,2003年1月至2004年1月在英国里丁大学(UniversityofReading)做访问学者
宁平,000807,1995赴德国凯泽斯劳滕大学环境工程专业做博士后研究
周飞,000807,"周飞,男,汉族,1979年11月生,2000年7月参加工作,2005年3月加入中国共产党,大学专科学历,工程师"
张正基,000807,"历任经历如下:1982.09--1986.07,山东农业机械化学院农机机械专业大学毕业,1986.07--1990.05,山东张店化工厂环氧丙烷工程指挥部技术员,1990.05--1991.10,山东张店化工厂环氧丙烷车间副主任,1991.10--1993.01,山东张店化工厂二分厂P0车间副主任,1993.01--1994.03,山东东大化学工业公司环氧丙烷车间主任,1994.03--1994.11,山东东大化学工业公司环氧丙烷厂厂长助理,1994.11--1995.03,山东东大化学工业公司技术开发处副处长,1995.03--2004.04,山东东大化学工业(集团)公司副总工程师、总工程师,2004.04--2008.10,山东铝业公司副总工程师,2008.10--2015.03,山东铝业公司副总经理、副总工程师,2015.03--2016.05,中铝山东有限公司副总经理,2016.05--2016.12,中铝山东有限公司总经理,山东铝业有限公司党委副书记,2016.12--2017.03,中铝山东有限公司执行董事,山东铝业有限公司党委书记、总经理、工会主席,2017.03--2017.11,中铝山东有限公司执行董事,山东铝业有限公司党委书记、总经理,2017.11--2017.12,中铝山东有限公司执行董事,山东铝业有限公司党委书记、执行董事、总经理,2017.12--2018.02,中铝山东有限公司董事长,山东铝业有限公司党委书记、执行董事、总经理,2018.02--2018.12,中铝山东有限公司董事长,山东铝业有限公司党委书记、执行董事、总经理,中铝大学校务委员会副校长,中铝党校校务委员会副校长,现任中铝山东有限公司执行董事,山东铝业有限公司党委书记、执行董事、总经理,中铝党校校务委员会副校长,中铝大学校务委员会副校长"
崔钟祺,000810,"崔钟祺,男,1956年出生,毕业于韩国崇实大学机械专业,韩国国籍"
陈斌,000819,"陈斌,男,1969年6月出生,中共党员,英国斯坦福厦大学工商管理专业硕士研究生,高级工程师"
邓德强,000820,"2016年10月至2017年10月,英国纽卡斯尔大学(NewcastleUniversity)访问学者"
司增辉,000839,"司增辉先生,1971年出生,大学专科学历,经济管理专业,中共党员"
陈圣,000820,"2015年12月毕业于英国格拉斯哥大学(UniversityofGlasgow)企业与商务发展管理专业,获理学硕士学位"
张建锋,000856,工作简历:1994.09-1998.08武汉工业大学外语系英语专业学生1998.08-2002.09北京建材集团有限责任公司外经处干部2002.09-2005.01北京建材集团有限责任公司外经处处长助理2005.01-2008.03北京金隅集团有限责任公司对外合作部副部长2008.03-2009.06北京金隅股份有限公司公共关系部副部长2009.06-2009.08北京金隅股份有限公司办公室副主任2009.08-2016.03北京金隅股份有限公司董事会工作部副部长2016.03-2017.12北京金隅股份有限公司董事会工作部部长2017.12-今北京金隅集团股份有限公司董事会工作部部长2016.11-今唐山冀东装备工程股份有限公司董事
陈焕春,000876,1984年10月至1988年1月就读于德国慕尼黑大学并获博士学位
陈焕春,000876,1988年2月至1989年1月在德国柏林自由大学国际动物传染病研讨班学习
宁志喜,000833,"宁志喜,男,1962年出生,湖南省化工职工大学工业会计专业毕业,会计师"
宁志喜,000833,"1985年9月至1987年8月,湖南省化工职工大学工业会计专业学习"
刘京,000839,刘京先生现任中国社会工作联合会副会长兼秘书长、《公益时报》社社长、国家开放大学社会工作学院院长
刘京,000839,刘京先生于1985年7月毕业于北京广播电视大学中文专业
朱冰,000833,中央党校大学经济管理专业
于永生,000836,1994年1月至1997年12月任齐齐哈尔铁路运输职工大学教师
胡冬明,000881,"胡冬明先生,男,1973年11月生,硕士研究生,美国丹佛大学工商管理硕士学位"
李声意,000899,"李声意,男,1967年1月出生,中共党员,大学研究生学历,经济学硕士,高级经济师,历任江投集团投资基金管理部职员、江西赣能股份有限公司证券管理部职员、副经理、经理、证券事务代表,董事会秘书"
张鸿,000899,"张鸿,男,汉族,1972年1月出生,中共党员,大学研究生学历,法学硕士,高级经济师、律师资格、企业二级法律顾问"
王玲,000892,"王玲女士,45岁,博士研究生学历,大学教授"
杨旗,000893,1998年9月至2001年8月在法国普瓦提埃大学攻读企业管理硕士
代云辉,000903,"代云辉:女,中国国籍,1964年12月生,籍贯云南昆明,昆明大学管理工程专业研究生班毕业"
商有光,000923,1998年11月至2001年9月在澳大利亚中央昆士兰大学攻读金融管理硕士
张晶晶,000910,"张晶晶女士:女,1979年出生,加拿大约克大学学士学位"
丁健,000908,"1986年10月-1992年1月,在日本国立九州大学医学部做访问学者"
柳筱敏,000909,"柳筱敏女士:1968年5月出生,中国国籍,无境外永久居留权,浙江广播电视大学毕业,本科学历"
邹玉红,000911,1990年7月大学毕业
谢阳,000913,"原为温岭市大学生村官,现在温岭市国有资产管理局工作,兼任温岭市国有资产投资集团有限公司董事,温岭市国有资产经营有限公司监事,温岭钱江投资经营有限公司执行董事,2016年11月9日至今任浙江钱江摩托股份有限公司董事"
杨智杰,000929,"杨智杰:男,1989年出生,汉族,澳大利亚拉筹伯大学国际贸易专业毕业,学士学位,兰州黄河企业股份有限公司总裁助理、“黄河啤酒集团”副总经理"
林江,000952,"林江,男,中共党员,大学"
陈益,000959,"曾任首钢中型轧钢厂机动科专业员、维修车间主任助理、机动科副科长,首钢北钢党委办公室党委秘书,首钢大学海外驻点培训班学员,首钢吉柴技改领导小组工程处副处长,首钢总公司经贸部办公室(党办)副主任,北京首钢新钢有限责任公司董事会秘书兼董事会办公室、经理办公室副主任,首钢总公司销售公司副总经理,北京首钢股份有限公司营销管理部副部长、营销管理部副部长兼董事会秘书室负责人,北京首钢股份有限公司董事会秘书兼董事会秘书室主任,北京首钢股份有限公司董事会秘书、法律总监、董事会秘书室主任兼任北京首钢冷轧薄板有限公司董事、首钢京唐钢铁有限公司董事"
李阅东,000963,"李阅东,男,1972年出生,加拿大魁北克大学项目管理硕士"
王豫辉,000968,"1988年4月参加工作,1988年4月在山西煤干院脱产大学专科学习"
蒲炜,000971,"蒲炜,男,1978年出生,大学专科"
况春江,000969,"况春江先生,1962年生,德国柏林工业大学博士研究生,教授级高级工程师"
于西蔓,000978,早稻田大学大学院商学研究科硕士研究生
常学武,000988,"现任武汉华中科技大产业集团有限公司董事,武汉华工大学科技园发展有限公司董事、总经理,武汉华科物业管理有限公司董事长"
高岩嵩,000989,"高岩嵩先生,1982年6月出生,博士研究生学历,曾在美国德州大学西南医学中心从事博士后研究工作"
张乐,000990,"张乐先生,1968年10月生,硕士,Syracuse大学材料科学与工程专业毕业"
陈丹,000999,"陈丹女士:女,出生于1970年11月,1990年7月毕业于广东省医药学校财会专业,1995年9月至1997年12月就读于中央党校经济管理专业,大学专科学历"
许芳,000999,现任TCL集团股份有限公司副总裁、TCL大学执行校长
采连革,001896,"1984年9月-1988年7月,武汉工业大学学习"
孔英,001979,加拿大约克大学经济系终身教授
张娜梅,002005,现任蚌埠上理大学科技园有限公司副总经理
王启平,002007,"王启平先生,中国国籍,1954年出生,毕业于上海纺织大学会计专业,会计师"
王子道,002010,"王子道先生:中国国籍,1968年出生,大学专科学历,高级会计师,曾就职于江西庆江化工厂和杭州幸福机电科技有限公司,2006年进入传化化学集团工作,历任多家子公司财务部部长,现任传化化学纺化全球首席财务官、纺化国内业务经营管理委员会成员、美高华颐董事"
吕启涛,002008,"吕启涛先生,生于1962年,德国国籍,德国柏林技术大学物理博士,博士后"
严文俊,002016,"严文俊先生,男,1990年7月出生,澳大利亚悉尼麦考瑞大学应用金融学士"
吴铭,002008,"吴铭先生,生于1976年,大学专科学历"
董育英,002008,"董育英先生,生于1970年,大学专科学历,广东民族学院物理系电子工程毕业"
吴江,002006,"吴江,女,中国国籍,身份证号码5102131971********,大学专科学历,注册会计师,注册资产评估师,房地产估价师、土地估价师"
赵蓓,002029,曾任加拿大数所大学助理教授、加拿大皇家银行个人理财经理、厦门经济管理咨询协会顾问、海峡国际营销课题负责人、厦门眼科中心市场调研项目负责人等职务
陈振宇,002024,"慕测平台创始人,全国大学生软件测试大赛发起人"
HervéMACHENAUD,002032,"Hervé MACHENAUD先生:法国国籍,1947年生,毕业于巴黎政治大学"
崔文进,002033,"崔文进先生,1982年生,硕士研究生学历,毕业于泰国布拉帕大学人力资源管理专业"
孔祥云,002042,1994年奥地利维也纳经济大学访问学者
苏志国,002038,1986年1月至1987年1月任荷兰德尔夫特大学博士后科研工作
徐志坚,002040,"徐志坚,男,1964年3月出生,中国国籍,研究生学历,博士学位,大学教授"
宋晨凌,002042,曾任闽江大学教师、深圳大华天诚会计师事务所高级经理、合伙人助理
王志华,002049,"1992年至1993年,任美国卡内基梅隆大学访问学者"
王志华,002049,"1993年至1994年,任比利时鲁汶天主大学访问研究员"
宁毅,002044,美国弗吉尼亚联邦大学医学院终身系列助理教授、博士生导师和博士后导师
顾大伟,002045,"顾大伟,中国国籍,1977年生,2003年获卡内基梅隆大学计算机学院硕士学位"
王寰邦,002041,"王寰邦先生:中国国籍,1940年5月出生,1963年大学毕业"
黄方亮,002041,"历任山东工业大学外语系教师,山东证券有限责任公司和天同证券有限责任公司投资银行总部总经理助理、执行董事"
史捷锋,002054,"1993年毕业于美国麻省大学高分子科学与工程系并获博士学位,1993~1995年于美国克拉克大学化学系高分子与波谱专业系从事博士后研究工作,是美国化学会会员、美国纺织化学家和染料家协会高级会员、美国西格玛赛科学研究会会员,曾任美国化学会特拉州分会理事,发表专业论文近30篇"
丁海芳,002054,"丁海芳女士,1970年8月生,中国国籍,无境外永久居留权,大学专科学历"
郭玉杰,002065,"郭玉杰先生:中国国籍,1964年出生,大学专科,曾在山东省泰安市岱岳区委、泰安市工商局工作,现任东华软件股份公司监事"
罗伟新,002069,"罗伟新,男,1978年生,大学专科学历,现任职于上海和襄投资管理有限公司"
王强,002074,"在校期间曾获校十大学术标兵称号,在JournalofPowerSources,RSCAdvances等国际顶级专业期刊上发表过多篇论文,并获授权国家发明专利4项"
StevenCai,002074,"Steven Cai先生,1962年10月生,美国国籍,美国韦恩大学硕士研究生"
FrankEngel,002074,"Frank Engel先生,1962年4月生,德国国籍,德国Wolfenbüttel专业技术大学机械工程专业硕士"
丁宗敏,002084,"2000年7月至2005年7月任上海市工程技术大学教师,2006年7月至2010年8月任普华永道咨询(深圳)业务拓展经理,2010年8月至2012年8月任国泰君安证券并购融资部董事,2012至2013年任上海国际集团创业投资有限公司业务董事"
李扬,002090,"1998年6月至1999年6月,为日本爱知工业大学访问学者"
阿里玛斯·甫拉提,002092,"2008年1月至2011年5月,美国内布拉斯加大学林肯分校国际金融与国际关系学专业毕业"
朱锦善,002104,1988年7月毕业于江苏广播电视大学文秘专业
洪连鸿,002102,2013年11月至2015年12月参加中国香港公开大学工商管理专业学习并获得工商管理硕士学位
董道辉,002107,"董道辉,中国国籍,无永久境外居留权,男,1972年10月出生,毕业于山东省经济管理干部学院,大学专科"
迟国敬,002108,1983至1988年先后在北京广播电视大学、北京语言学院学习后到日本东京燃气公司技术进修
刘文一,002107,"刘文一,中国国籍,无永久境外居留权,男,1974年11月出生,毕业于菏泽医学高等专科学校,大学专科"
赖世强,002120,"赖世强先生,男,1977年10月出生,中国国籍,无境外永久居留权,大学专科学历"
李卫义,002115,历任浙江邮电职工大学讲师、深圳市赛博特实业发展有限公司副总经理、深圳雄脉通信设备有限公司总经理、广东盛路通信科技股份有限公司副总裁、营销中心总经理
陈慈琼,002123,"陈慈琼,女,中国国籍,1970年出生,毕业于唐山大学工业会计专业,专科学历,1999年9月至2003年5月,任深圳市北大纵横财务顾问有限公司财务经理"
夏军,002126,"1993-1996,美国费吉尼亚大学任分子生物医学博士后研究员"
李明,002132,"李明先生,1982年生,中国国籍,未有其他任何国家和地区的永久海外居留权,中共党员,大学毕业"
郑文新,002134,"郑文新先生,1974年4月出生,中国国籍,大学专科学历"
乔昕,002137,"乔昕先生大学毕业后曾先后在无锡机床研究所、日本北陆电气工业株式会社深圳办事处工作,1998年创办深圳市麦达数字股份有限公司前身深圳市实益达实业有限公司,现任深圳市麦达数字股份有限公司董事兼首席执行官、百华科技发展有限公司执行董事、拉萨市冠德成科技发展有限公司执行董事、深圳市日升投资有限公司执行董事、深圳市晨杨投资合伙企业(有限合伙)有限合伙人、深圳前海实益达投资发展有限公司董事长兼总经理、无锡实益达电子有限公司执行董事兼总经理和奇思国际、顺为广告和利宣广告执行董事及总经理"
吴树阶,002138,"曾任职于中国十五冶金建设有限公司、黄石电视大学、中纺集团黄石纺机厂、武汉市信息中心,现任职于武汉新羌红枣销售有限公司,兼任格林美股份有限公司独立董事"
郭明,002153,"郭明,男,出生于1956年,经济师,大专学历,毕业于长春职工大学"
段建明,002148,"段建明先生,1963年出生,于1988年职工大学毕业,获大专学历"
廖植生,002158,"廖植生:男,中国台湾省籍,1973年出生,毕业于英国利物浦大学研究所"
许芳,002151,2015年9月至今任TCL大学执行校长
许芳,002151,现任TCL集团股份有限公司副总裁、TCL大学执行校长
马宏达,002162,"历任西藏自治区人民政府驻北京办事处联络员、西藏自治区政府办公厅专职秘书、西藏自治区人民政府驻北京办事处项目官员、东西精华(农科)苏州有限公司董事会秘书、吴江太湖大学堂教育培训中心办公室主任,现任南怀瑾学术研究会副会长"
何永吉,002173,2012年毕业于英国白金汉大学
富红兵,002171,"富红兵女士:1967年生,中国国籍,无境外居留权,大学专科学历,中级会计师"
陆文龙,002182,"陆文龙先生,汉族,1957年生,本科学历,大学教授,中共党员"
温伟辉,002181,"温伟辉先生:1973年7月出生,大学专科学历,注册会计师、注册税务师"
黄振亮,002182,"黄振亮先生,1976年生,大学专科学历,曾负责南京云海特种金属股份有限公司K3、ERP项目建设,参与公司SAPERP项目建设"
张铁成,002185,"张铁成,男,汉族,1964年7月出生,中共党员,大学专科学历"
李国敬,002178,硕士研究生、中国台湾中正大学法律学研究所博士候选人
张平森,002176,"张平森先生,1964年出生,大学专科学历,曾从事中学物理教学,中级教师职称"
黄志瀚,002198,"黄志瀚先生:男,在澳大利亚昆士兰大学进修"
杨小红,002196,"杨小红,女,大学专科学历,1999年12月参加工作"
孙东升,002213,"日本大阪大学工学部材料工学专业,博士学历"
孙东升,002213,"曾任山东工业大学二机系讲师、山东工业大学材料学院教授、日本通产省工业技术院研究员、深圳市创新投资集团有限公司董事兼总经理等职务,2019年7月从深圳市创新投资集团有限公司退休"
王竹,002221,"王竹,女,1983年5月出生,中国国籍,无境外永久居留权,毕业于对外贸易经济大学"
孙金,002231,"孙金,女,生于1969年,中国国籍,无境外永久居留权,美国北弗吉尼亚大学MBA"
宋卯元,002236,"宋卯元女士,中国国籍,1982年出生,大学专科毕业"
裘剑调,002242,"裘剑调先生,生于1973年,亚洲城市大学工商管理硕士,中级会计师"
GeorgeLanePoe,002250,"George Lane Poe先生,美国国籍,1958年2月出生,学士,毕业于美国阿拉巴马大学土木工程专业"
胡佳佳,002269,"胡佳佳,女,1986年8月31日出生,2010年毕业于阿斯顿大学市场营销专业,2011年取得伦敦马兰戈尼学院时尚营销硕士学位,2011年至今,在公司曾任职于总裁办公室、Metersbonwe鞋类开发营运部、品牌营销部、战略发展部"
叶静,002273,"叶静:女,中国国籍,1985年4月出生,毕业于英国赫特福特大学市场营销专业,本科学历"
邹洵,002275,"1999年-2001年任职桂林三金药业股份有限公司财务人员,2002年3月-2003年10月就读新英格兰大学并取得国际商务硕士学位"
刘小明,002272,1988年毕业于四川自贡电子广播大学财务会计专业
