_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,policyMention1,amountMention1,policyMention2,amountMention2,policyMention3,amountMention3,natureOfCompanyInvolvement,otherComments
"""5fab67450091c9411f2bbd83""",健康中国2030,年度报告,2019,香雪制药：2019年年度报告摘要（更新后）,300147.SZ,香雪制药,制造业,医药制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300147/page_type/ndbg.phtml,,,,,,,,
"""5fab67450091c9411f2bbd85""",健康中国2030,年度报告,2019,*ST济堂：2019年年度报告,600090.SH,*ST济堂,电力、热力、燃气及水的生产和供应业,批发业,新疆维吾尔自治区,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600090/page_type/ndbg.phtml,,,,,,,,
"""5fab67450091c9411f2bbd87""",健康中国2030,年度报告,2019,千山退：2019年年度报告,300216.SZ,千山退,制造业,专用设备制造业,湖南省,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300216/page_type/ndbg.phtml,,,,,,,,
"""5fab67450091c9411f2bbd88""",健康中国2030,年度报告,2019,*ST辅仁：2019年年度报告,600781.SH,*ST辅仁,制造业,医药制造业,河南省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600781/page_type/ndbg.phtml,,,,,,,,
"""5fab67450091c9411f2bbd89""",健康中国2030,年度报告,2019,太安堂：2019年年度报告（更新后）,002433.SZ,太安堂,制造业,医药制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002433/page_type/ndbg.phtml,,,,,,,,
"""5fab67450091c9411f2bbd8a""",健康中国2030,年度报告,2019,大湖股份：2019年年度报告（修订版）,600257.SH,大湖股份,农、林、牧、渔业,渔业,湖南省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600257/page_type/ndbg.phtml,,,,,,,,
"""5fab67450091c9411f2bbd8b""",健康中国2030,年度报告,2019,灵康药业：2019年年度报告（修订版）,603669.SH,灵康药业,制造业,医药制造业,西藏自治区,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603669/page_type/ndbg.phtml,,,,,,,,
"""5fab67450091c9411f2bbd8c""",健康中国2030,年度报告,2019,*ST中珠：2019年年度报告,600568.SH,*ST中珠,制造业,医药制造业,湖北省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600568/page_type/ndbg.phtml,,,,,,,,
"""5fab67450091c9411f2bbd8e""",健康中国2030,年度报告,2019,通策医疗：2019年年度报告（修订版）,600763.SH,通策医疗,卫生和社会工作业,卫生,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600763/page_type/ndbg.phtml,,,,,,,,
"""5fab67450091c9411f2bbd91""",健康中国2030,年度报告,2019,延安必康：2019年年度报告,002411.SZ,延安必康,制造业,医药制造业,陕西省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002411/page_type/ndbg.phtml,,,,,,,,
